,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,squadName
0,2021-08-21,18:30,Serie A,Matchweek 1,Sat,Home,W,4.0,0.0,Genoa,1.5,1.0,59.0,27402.0,Samir Handanović,3-5-1-1,Valerio Marini,Match Report,,Inter
1,2021-08-27,20:45,Serie A,Matchweek 2,Fri,Away,W,3.0,1.0,Hellas Verona,1.6,0.8,57.0,11214.0,Samir Handanović,3-5-1-1,Gianluca Manganiello,Match Report,,Inter
2,2021-09-12,12:30,Serie A,Matchweek 3,Sun,Away,D,2.0,2.0,Sampdoria,0.7,1.2,48.0,7441.0,Samir Handanović,3-5-2,Daniele Orsato,Match Report,,Inter
4,2021-09-18,18:00,Serie A,Matchweek 4,Sat,Home,W,6.0,1.0,Bologna,3.1,0.5,46.0,35278.0,Samir Handanović,3-5-2,Giovanni Ayroldi,Match Report,,Inter
5,2021-09-21,20:45,Serie A,Matchweek 5,Tue,Away,W,3.0,1.0,Fiorentina,2.8,1.4,47.0,15927.0,Samir Handanović,3-5-2,Michael Fabbri,Match Report,,Inter
6,2021-09-25,18:00,Serie A,Matchweek 6,Sat,Home,D,2.0,2.0,Atalanta,3.9,2.1,50.0,36517.0,Samir Handanović,3-5-2,Fabio Maresca,Match Report,,Inter
8,2021-10-02,20:45,Serie A,Matchweek 7,Sat,Away,W,2.0,1.0,Sassuolo,1.9,1.5,45.0,10400.0,Samir Handanović,3-5-2,Luca Pairetto,Match Report,,Inter
9,2021-10-16,18:00,Serie A,Matchweek 8,Sat,Away,L,1.0,3.0,Lazio,1.4,2.5,48.0,42000.0,Samir Handanović,3-5-1-1,Massimiliano Irrati,Match Report,,Inter
11,2021-10-24,20:45,Serie A,Matchweek 9,Sun,Home,D,1.0,1.0,Juventus,0.8,1.8,49.0,56532.0,Samir Handanović,3-5-2,Maurizio Mariani,Match Report,,Inter
12,2021-10-27,20:45,Serie A,Matchweek 10,Wed,Away,W,2.0,0.0,Empoli,2.0,0.6,69.0,9335.0,Samir Handanović,3-5-2,Daniele Chiffi,Match Report,,Inter
13,2021-10-31,12:30,Serie A,Matchweek 11,Sun,Home,W,2.0,0.0,Udinese,2.1,0.4,66.0,48076.0,Samir Handanović,3-5-2,Juan Sacchi,Match Report,,Inter
15,2021-11-07,20:45,Serie A,Matchweek 12,Sun,Away,D,1.0,1.0,Milan,2.6,0.9,49.0,56608.0,Samir Handanović,3-5-2,Daniele Doveri,Match Report,,Inter
16,2021-11-21,18:00,Serie A,Matchweek 13,Sun,Home,W,3.0,2.0,Napoli,1.9,1.1,44.0,56649.0,Samir Handanović,3-5-2,Paolo Valeri,Match Report,,Inter
18,2021-11-27,20:45,Serie A,Matchweek 14,Sat,Away,W,2.0,0.0,Venezia,2.7,0.1,56.0,8303.0,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,Inter
19,2021-12-01,18:30,Serie A,Matchweek 15,Wed,Home,W,2.0,0.0,Spezia,2.8,0.4,63.0,30076.0,Samir Handanović,3-5-2,Davide Ghersini,Match Report,,Inter
20,2021-12-04,18:00,Serie A,Matchweek 16,Sat,Away,W,3.0,0.0,Roma,1.5,0.7,66.0,51185.0,Samir Handanović,3-5-2,Marco Di Bello,Match Report,,Inter
22,2021-12-12,20:45,Serie A,Matchweek 17,Sun,Home,W,4.0,0.0,Cagliari,3.0,0.2,75.0,33712.0,Samir Handanović,3-5-2,Matteo Marchetti,Match Report,,Inter
23,2021-12-17,20:45,Serie A,Matchweek 18,Fri,Away,W,5.0,0.0,Salernitana,3.1,0.7,65.0,18000.0,Samir Handanović,3-5-2,Maurizio Mariani,Match Report,,Inter
